Infraestrutura;SEIL;26;CONCORRÊNCIA PARA A CONTRATAÇÃO SEMI-INTEGRADA DE EMPRESA PARA ELABORAÇÃO DO PROJETO EXECUTIVO E EXECUÇÃO DAS OBRAS DE RESTAURAÇÃO E AMPLIAÇÃO DE CAPACIDADE DA RODOVIA PRC-466 NO TRECHO ENTRE O ACESSO A SUBESTAÇÃO IVAIPORÃ FURNAS, EM MANOEL RIBAS E O ENTRONCAMENTO COM A PR-460, EM PITANGA, NUMA EXTENSÃO DE 43,05 KM.;Turvo;  -    ;  -    ; -   ; -   ; -   ; -   ;;;;0;0;755;Em licitação;
Infraestrutura;SEIL;26;Execução das obras de duplicação em pavimento rígido da PR-412 e implantação de vias marginais, entre a ponte sobre o canal em Matinhos e a interseção com a rodovia PR-407 em Pontal do Paraná;Matinhos;274.500.000,00;26.555.308,00;26.555.308,00;3.342.828,25;3.342.828,25;271.157.171,75;;;;2,04;1,22;755;Em licitação;1149/2025
Infraestrutura;SEIL;26;Contratação semi-integrada de empresa para elaboração do projeto executivo e execução das obras de duplicação e restauração da rodovia PR-170/PRC-466, de Pitanga a Turvo, numa extensão de 45,50 km.;Turvo;534.199.738,46;69.793.758,00;69.793.758,00;8.256.744,96;8.256.744,96;525.942.993,50;;;;3,48;1,55;755;Em execução;1296/2025
Infraestrutura;SEIL;26;Pavimentação PR-092, Cerro Azul - Dr. Ulysses (sub-trecho iniciando em Dr. Ulysses) (Lote 1);Doutor Ulysses;61.719.867,09;40.000.000,00; -   ;2.658.374,45;3.916.901,24;59.061.492,64;;;;9,71;4,31;755;Em execução;1487/2024
Infraestrutura;SEIL;26;Elaboração do projeto executivo de implantação da rodovia PR-239, trecho: Mato Rico a Roncador;Mato Rico;101.199.999,99;9.767.064,00;9.757.064,00; -   ; -   ; -   ;;;;0;0;755;Em execução;1522/2025
Infraestrutura;SEIL;26;Execução das obras de Implantação da PR-990, entre a PR-364 e a cidade de Rebouças;Rebouças;90.658.114,75;87.300.000,00;31.843.928,00;4.624.951,67;4.121.592,36;86.033.163,08;;;;9,74;5,1;755;Em execução;2979/2024
Infraestrutura;SEIL;26;Elaboração dos Projetos Básico e Executivo e Execução das Obras de Restauração em Whitetopping na PRC-280, entre Clevelândia e Pato Branco;Pato Branco;185.239.000,61;165.250.000,00;165.239.000,61;162.653.414,86;166.541.418,83;22.585.585,75;;;;92,8;87,81;755;Em execução;3182/2024
Infraestrutura;SEIL;26;Contratação Semi-integrada de empresa para elaboração do Projeto Executivo e execução das obras de ampliação de capacidade e restauração das rodovias PRC-487 e PR-460, da ponte sobre o rio Muquilão, em Nova Tebas, a Pitanga, numa extensão de 51,52 km.;Turvo;267.800.000,00;8.010.000,00;10.000,00; -   ; -   ;267.800.000,00;;;;;0;755;Em execução;4024/2025
Infraestrutura;SEIL;26;Execução das obras de duplicação e restauração da rodovia PR-170/PRC-466 entre o entroncamento da Rodovia Municipal em Palmeirinha e o início da pista dupla em Guarapuava, numa extensão total de 11,52 km;Guarapuava;143.001.638,56;35.303.520,00;70.313.519,30;58.436.172,00;30.457.417,45;84.933.777,09;;;;53,19;40,61;755;Em execução;4358/2024
Infraestrutura;SEIL;26;Contratação Integrada de Empresa para Elaboração dos Projetos Básico e Executivo e Execução das Obras de Restauração com Melhorias das Rodovias PR-180 e PR-281, no trecho Dois Vizinhos - Francisco Beltrão (com Salto do Lontra);Dois Vizinhos;96.357.474,33;15.314.163,00;15.314.163,00;2.839.635,82;1.157.856,53;93.517.838,51;;;;2,95;2,95;755;Em execução;6089/2024
Infraestrutura;SEIL;26;Execução das obras de restauração e ampliação de capacidade da rodovia PR-151, no trecho compreendido entre o entroncamento com a PR-438, km 344,51, em Ponta Grossa, e a interseção com a BR-277, km 377,22 em Palmeira;Palmeira;257.215.000,10;25.000.000,00;25.000.000,00;23.146.147,97;24.827.927,26;234.068.852,17;;;;11,7;9;755;Em execução;6318/2024
